"1138              ","GASPAR                          ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1139              ","--BRILL--                       ","DE 8 A 9                 ","DE 8 A 9                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1140              ","TRUDY                           ","DE 8 A 9                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","SI                       "
"1141              ","CARLINA                         ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1142              ","BRENDA                          ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1143              ","CHALTEN                         ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1144              ","SULLY                           ","DE 3 A 4                 ","DE 3 A 4                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","SI                       "
"1147              ","ALINA                           ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","SI                       "
"1148              ","FEDERICA                        ","NO APLICA                ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1149              ","-NO USAR- AGATA MIX             ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1150              ","ZOE                             ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1151              ","CHARLESTON                      ","DE 8 A 9                 ","DE 8 A 9                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1153              ","FRANIE                          ","NO APLICA                ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1154              ","TOMASINA                        ","NO APLICA                ","DE 9 A 10                ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1155              ","OAKI                            ","DE 9 A 10                ","DE 8 A 9                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","SI                       "
"1156              ","PAMPEANA                        ","NO APLICA                ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1157              ","TIMOTEA                         ","DE 8 A 9                 ","DE 8 A 9                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1158              ","PAMPEANA MIX                    ","NO APLICA                ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1159              ","TOTORA TUL                      ","DE 8 A 9                 ","DE 10 A 11               ","OVILLOS PESO VARIABLE    ","PRIMAVERA / VERANO       ","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1160              ","TOTORA                          ","DE 8 A 9                 ","DE 10 A 11               ","MADEJA PESO VARIABLE     ","PRIMAVERA / VERANO       ","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1161              ","TOTORA MIX                      ","DE 8 A 9                 ","DE 10 A 11               ","MADEJA PESO VARIABLE     ","PRIMAVERA / VERANO       ","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1162              ","VOILE                           ","DE 8 A 9                 ","DE 10 A 11               ","OVILLOS PESO VARIABLE    ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1163              ","VELLON MIX                      ","NO APLICA                ","NO APLICA                ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","SI                       "
"1165              ","TOTORA DESFLECADA               ","DE 8 A 9                 ","DE 10 A 11               ","MADEJA PESO VARIABLE     ","PRIMAVERA / VERANO       ","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1166              ","SULLY MIX                       ","DE 3 A 4                 ","DE 3 A 4                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","SI                       "
"1167              ","KOPOM MIX                       ","NO APLICA                ","DE 8 A 9                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
